symbol,Program,Grant Number,Partner Organization,Project Title,Award Amount:,Leveraged Funds:,Proposal_Number,Country,Summary,Notes,coordinates
measle_brown,Grate Ape,96200-1-G110,PanEco Foundation,"New Sumatran orangutan (Pongo abelii) nest surveys to determine its current distribution, density and abundance","$81,615.00","$161,870.00",GA-0788,Indonesia,"This project will provide an update on the distribution, density and abundance of the Sumatran orangutan in the Leuser Ecosystem.  The Leuser Ecosystem is by far the most important area for the conservation of the Sumatran orangutan and is estimated to contain 88% of the species’ population.  This estimate is, however, based on data from 1990-2001 and is therefore in urgent need of an update because deforestation, degradation and fragmentation have all continued to impact orangutans during the past decade.",,"3.088103, 97.781067"
measle_brown,Grate Ape,96200-1-G168,"Rutgers, The State University of New Jersey","The integration of environmental education and long-term research to increase conservation awareness in communities surrounding the Tuanan Orangutan Research Station, Mawas Area, Central Kalimatan","$48,219.00","$63,448.00",GA-0775,Indonesia,"This project will support orangutan conservation surrounding the Tuanan Orangutan Research Station by implementing an environmental education program in local communities.  The grantee will develop a curriculum for the local school system, provide the communities with up-to-date information on relevant environmental issues and the research findings of the station, and continue to integrate local community members into the research efforts of the Tuanan Research Area.",,"-2.146657, 114.43428"
measle_brown,Grate Ape,96200-1-G233,Yayasan Cipta Citra Lestari Indonesia,"Long-term home range size, habitat use, and the effect of habitat disturbance on Sumatran orangutans","$17,264.00","$21,319.00",GA-0811,Indonesia,"This project will provide an improved understanding of the ranging patterns and long-term spatial needs of the Sumatran orangutan.  The grantee will analyze 35 years of data from Ketambe Research Station using modern GIS tools to determine the orangutan’s long-term home range size, habitat use patterns, the effects of habitat disturbance on ranging, and behavioral response to habitat change.",,"3.66786, 97.656441"
measle_brown,Grate Ape,96200-1-G241,Orangutan Tropical Peatland Project [OUTROP],"Ecological monitoring as a tool for ape conservation: assessing the effectiveness of conservation initiatives in Sabangua, Central Kalimantan","$56,395.00","$82,714.00",GA-0842,Indonesia,This grant will initiate long-term monitoring of factors relevant to orangutan and gibbon conservation in the Peat Swamp Forest Natural Laboratory located in the Sebangau Swamp and immediately adjacent to Sebangau National Park.  This research will provide feedback on the effectiveness of conservation initiatives to management agencies. The project will also assess the utility of LiDar as a tool for monitoring changes in forest biomass.,,"-2.380906, 113.895264"
measle_brown,Grate Ape,96200-1-G096,Fauna and Flora International,"Enhancing conservation of the western black-crested gibbon at Nam Kan National Protected Area, Lao PDR","$56,295.00","$7,381.00",GA-0751,Laos,"This project will improve understanding of the status of the black-crested gibbon in the Bokeo Province portion of Nam Kan National Protected Area to support management planning.  The grantee will determine the distribution and status of this species as well as the threats to its survival in the area, and by raising awareness and pride among local communities about the global significance of this gibbon.",,"20.61022, 100.746002"
measle_brown,Grate Ape,96200-1-G236,Wildlife Conservation Society,"Northern white-cheeked gibbon (Nomascus leucogenys) conservation through concentrated protection in the Nam Et Phou Louey National Protected Area Core Zone, Huaphan Lao PDR","$54,223.00","$53,417.00",GA-0848,Laos,"This project will concentrate enforcement interventions in areas of the National Protected Area core zone to conserve globally significant populations of the northern white-cheeked gibbon.  The grantee will strengthen and equip five substations nearest to the high-risk areas for gibbons in the National Protected Area, and increasing the patrolling effort in and near the gibbon territories.",,"20.444743, 103.634033"
measle_brown,Grate Ape,96200-1-G182,Fauna and Flora International,Strengthening West African chimpanzee conservation through rebuilding capacity in post-conflict Liberia,"$49,565.00","$83,320.00",GA-0821,Liberia,This project will develop an applied research program at Sapo National Park and increase conservation capacity in Liberia through a revision of core conservation curriculum at the country’s two universities.,,"5.488, -8.389"
measle_brown,Grate Ape,96200-1-G105,North Carolina Zoological Society,Improved protection for the Cross River gorilla at Nigeria's Afi Mountain Wildlife Sanctuary enhanced law enforcement action and monitoring,"$48,470.00","$57,800.00",GA-0801,Nigeria,"This project will conserve the Cross River gorilla and other wildlife at Afi Mountain Wildlife Sanctuary through reduction of hunting and other illegal activities.  The grantee will increase the frequency, duration, coverage, and efficacy of anti-poaching patrols.",,"5.75, 8.55"
measle_brown,Grate Ape,96200-1-G243,International Institute for Environment and Development,Linking great ape conservation and poverty alleviation: sharing experience from Africa and Asia,"$48,875.00","$40,000.00",GA-0835 Asia,Range states,This project will build the capacity of organizations concerned with the conservation of great apes to address and better integrate poverty alleviation into their implementation strategies.  The grantee will organize a workshop in Indonesia that brings together conservation practitioners from Asia and Africa to exchange experience on linking ape conservation with poverty alleviation.  The project will also explore collating a set of “Best Practice Guidelines” for publication by the Primate Specialist Group of  IUCN.,,"-6.55277, 106.753078"
measle_brown,Grate Ape,96200-1-G104,International Gorilla Conservation Programme,Transboundary mountain gorilla habitat protection and surveillance: support to a Regional Information System in the Virunga-Bwindi Forest Ecosystem,"$59,915.00","$157,024.00",GA-0779,Rwanda,"This project will improve park management by supporting ranger based monitoring teams to collect data on the location, intensity, and type of threats impacting mountain gorillas.",,"-1.526, 29.599"
measle_brown,Grate Ape,96200-1-G123,Wildlife Conservation Society,Conserving Nyungwe's chimpanzees through education and outreach,"$58,103.00","$61,936.00",GA-0769,Rwanda,"This project will create a long-term constituency in support of chimpanzee conservation around Nyungwe National Park through teacher training, primary school education, community outreach, and the production of outreach materials.",,"-2.419, 29.152"
measle_brown,Grate Ape,96200-1-G124,PCI Media Impact,My Chimpanzee-My Community,"$63,208.00","$42,788.00",GA-0790,Rwanda,"This project will complement outreach activities conducted by the Wildlife Conservation Society and Rwandan park authorities to positively change community knowledge, attitudes, and behaviors related to chimpanzees.  The grantee will conduct a radio theatre campaign designed to strengthen engagement in protecting Nyungwe National Park.",,"-2.419, 29.152"
measle_brown,Grate Ape,96200-1-G186,PCI Media Impact,Conservation of chimpanzee habitats: an entertainment-education strategy for protecting Western chimpanzees in post-war Sierra Leone and Liberia,"$99,000.00","$51,944.00",GA-0850 Africa,Sierra Leone,"This project will reduce threats to chimpanzees by building the capacity of local organizations to implement an awareness campaign, including a regional radio serial drama.",,"3.6, -10.797"
measle_brown,Grate Ape,96200-1-G198,Jane Goodall Institute,Using new technologies in chimpanzee censusing to inform landscape-scale habitat management in western Tanzania,"$68,188.00","$39,995.00",GA-0818,Tanzania,"This project will identify and conserve critical chimpanzee habitats in the Masito-Ugalla ecosystem in Western Tanzania using a unique combination of remote acoustic monitoring technologies, non-invasive genetic analysis, field surveys, and GIS methods.",,"-6.162, 30.053"
measle_brown,Grate Ape,96200-1-G095,World Wildlife Fund-Thailand,Saving endangered pileated gibbons through conservation education/awareness in southeast Thailand,"$49,800.00","$19,615.00",GA-0749,Thailand,"This project will increase the globally significant population of endangered pileated gibbons in Khao Ang Rue Nai Wildlife Sanctuary by assessing threats to the gibbon population, building capacity for sanctuary management, and through conservation education and outreach.  Outreach will include a gibbon painting contest, gibbon exhibits at schools, a brochure on gibbon ecology/conservation, and a permanent exhibit on gibbons at the sanctuary head office and ranger station.",,"13.251902, 101.750488"
measle_brown,Grate Ape,96200-1-G106,Budongo Conservation Field Station,Establishing a national chimpanzee disease and health monitoring programme in Uganda,"$29,469.00","$94,415.00",GA-0763,Uganda,"This project will minimize the threat of disease transmission between humans and chimpanzees in Uganda through a standardized national chimpanzee health monitoring protocol, establishment of a veterinary center, and training for wildlife veterinarians.",,"1.724, 31.544"
measle_brown,Grate Ape,96200-1-G179,"Village Enterprise Fund, Inc.","Integrated conservation and microenterprise development model: the Budongo Program, Uganda","$50,000.00","$139,000.00",GA-0808 Africa,Uganda,"This project will support alternative livelihood programs to conserve the chimpanzee population in the Budongo forest reserve.  The programs will shift human activities away from existing practices toward sustainable methods of food protection, livestock rearing, retail operations, and eco-tourism support.",,"1.724, 31.544"
measle_brown,Grate Ape,96200-1-G183,"University of Georgia Research Foundation, Inc","Close-contact pathogens, sexually transmitted diseases, and African ape conservation","$31,292.00","$34,920.00",GA-0826,Uganda,This project will reduce the transmission of sexually transmitted diseases from sanctuary chimpanzees to wild chimpanzees. The grantee will analyse how chimpanzee mating patterns affect pathogen transmission to develop targeted vaccination and/or treatment strategies.,,"0.485, 30.389"
measle_brown,Grate Ape,96200-1-G094,Wildlife Conservation Society,Analyzing trade dynamics and raising political awareness and commitment to eliminate the illegal trade in yellow-cheeked crested Gibbons (Nomascus concolor) and other endangered species in Southern Vietnam,"$58,937.00","$55,392.00",GA-0746,Vietnam,This project will provide accurate and detailed analysis of illegal trade dynamics in yellow-cheeked crested gibbons and other endangered species in the Ho Chi Minh City Metropolitan area.  This information will be used to raise political awareness and commitment to eliminate the illegal trade in gibbons and to plan strategies to prevent these crimes.,,"10.85069, 106.627655"
measle_brown,Grate Ape,96200-1-G101,Centre for Natural Resources and Environmental Studies (CRES),Conservation training and survey for the critically endangered white-cheeked gibbon (Nomascus leucogenys) in Vietnam's northwest provinces,"$49,940.00","$8,750.00",GA-0737,Vietnam,"This project will enhance capacity to conserve the white-cheeked gibbon among local conservation practitioners at key sites. The grantee will train forest rangers, protected area staff and local conservation activists from the vicinity of four priority sites in gibbon survey and monitoring methods.  The grantee will also carry out a field survey and raise local awareness of the need to protect gibbons.",,"22.258314, 102.521362"
measle_brown,Grate Ape,96200-1-G238,Fauna and Flora International,Census of the transboundary Cao Vit gibbon population and review of protected area management planning,"$53,404.00","$19,381.00",GA-0851,Vietnam,"This project will improve scientific knowledge of the population dynamics of the gibbon.  This is needed to steer conservation interventions and build capacity for management of the Cao Vit Gibbon Conservation Area in Vietnam.  With a global population of about 110 individuals remaining in only one forest area on the border of northeast Vietnam and southern China, the cao vit gibbon is one of the world’s rarest primates.",,"22.861975, 106.421509"
measle_brown,Grate Ape,96200-1-G242,Douc Langur Foundation,"Safeguarding viable populations of Critically Endangered gibbons at Chu Mom Ray National Park, Vietnam","$28,147.00","$31,285.00",GA-0860 Asia,Vietnam,"This project will reduce the killing, trapping and illegal trade of yellow-cheeked crested gibbons in the vicinity of the park and initiate protection of the gibbons and their habitat.  The grantee will carry out a gibbon survey, form rangers into Gibbon Protection Teams, train and deploy the teams to patrol, and monitor the patrol effort.",,"14.504417, 107.620621"
Small_red,Africa,96200-1-J001,,,"$10,000.00",,AFR-0139,,"NOTE: $10,000 funding from GACF-8884 for Africa Grant #96200-1-J001, total $120,000, see Africa summary for details, doesn't count as GACF grant.",,","
small_green,Asian Elephant,96200-1-G015,Centre for Conservation and Research,Radiotelemetric study of elephants in Sri Lanka for their conservation and mitigation of the human-elephant conflict (Year 2),"$47,487.00","$35,970.00",ASE-0484,Sri Lanka,"This project will monitor management and development activities and assess their impact on elephants, suggesting alternatives to minimize human-elephant conflict.  The grantee will develop successful management and conservation strategies for elephants by tracking radio-collared elephants, studying their behavior, assessing their body condition, and engaging in discussions with the wildlife authorities and other stakeholders.",This project spans the entire country of Sri Lanka,"7.590613, 80.69458"
small_green,Asian Elephant,96200-1-G016,Pondicherry University,"Elephant corridors of the Nilgiri Biosphere Reserve: location, threats, and management","$38,101.00","$10,333.00",ASE-0485,India,This project will produce a baseline record of elephant habitat in the region and location of elephant corridors based on past records.  The grantee will assess the present condition of corridors to develop a regional management plan for elephant conservation.,,"11.646109, 76.487503"
small_green,Asian Elephant,96200-1-G017,Wildlife Conservation Society,Developing the capacity within Indonesia to conduct DNA analyses of elephants and other endangered wildlife species based on non-invasive sampling,"$62,268.00","$65,407.00",ASE-0498,Indonesia,"This grant will help develop a laboratory facility in Indonesia that employs DNA based technologies to estimate populations, sex ratios and genetic diversity information for the key elephant populations in Sumatra.",,"-0.134277, 101.636963"
small_green,Asian Elephant,96200-1-G018,Wildlife Alliance,Kouprey Express: broadening outreach on Asian elephant conservation in Cambodia,"$54,454.00","$151,829.00",ASE-0511,Cambodia,"Support from this grant will allow the Kouprey Express to maintain and expand its sustained environmental education program with a strong elephant conservation theme.  The grantee will present this program to thousands of disadvantaged schoolchildren and their families living in or around the Cardamom Mountains protected areas, resulting in an increased understanding of and support for the region’s biodiversity.",,"12.213715, 103.081818"
small_green,Asian Elephant,96200-1-G019,Asian Elephant Support,Support of ongoing veterinary training in elephant health care and conservation,"$41,745.00","$6,130.00",ASE-0546,Indonesia,"This project will help build the capacity of range country veterinarians by allowing them opportunities for practical training and experience exchanges. Additionally, a regional veterinary workshop will be hosted in Sumatra in collaboration with Veterinary Society for Sumatran Wildlife Conservation and the veterinary college in Banda Aceh.",This project supports ongoing veterinary training in elephant health care and conservation throughout all of the Asian elephants range countries. The coordinates provided is the location of the proposed workshop.,"5.566942, 95.367003"
small_green,Asian Elephant,96200-1-G020,World Wildlife Fund - India,"Human-elephant conflict mitigation in selected areas of Sonitpur and Udalguri districts of Assam state, Northeast India","$49,996.00","$76,133.00",ASE-0504,India,"This project will reduce human-elephant conflict and motivate local communities to change their behaviors to reduce interactions between people and elephants.  The grant will support anti-depredation teams and ""Kunki"" (trained) elephants to prevent elephants from raiding crop fields, and awareness raising events to help villagers better understand elephants and their conservation needs.",,"26.920165, 92.342758"
small_green,Asian Elephant,96200-1-G053,Frankfurt Zoological Society,"Saving the elephants of Bukit Tigapuluh, Sumatra: a genetic population survey as a first step","$56,100.00","$69,800.00",ASE-0521,Indonesia,"This grantee will use non-invasive genetic techniques to estimate size, sex ratio, and age structure of Asian elephant populations.  The project will explore long term population monitoring possibilities, update distribution data of elephants and other megafauna in the region, and update information on illegal activities.  The grantee will build capacity of Indonesian rangers and conservationists to develop a management plan for elephant conservation.",,"-1.089107, 102.312927"
small_green,Asian Elephant,96200-1-G054,Zoologist Have Kobenhavn (Copenhagen Zoo),Development and application of molecular genetic tools for management and conservation of elephants in Peninsular Malaysia,"$40,609.00","$43,494.00",ASE-0524,Malaysia,"This project will train a Malaysian Department of Wildlife and National Parks research officer on non-invasive, genetic sampling techniques for population estimates.  Training will build the officer's capacity to use these techniques for future population estimates, to describe and quantify genetic structure and diversity in the elephant population, and to use genetics to study social organization of elephants in Taman Negara National Park and identify individual crop raiding elephants.",,"4.71528, 102.469406"
small_green,Asian Elephant,96200-1-G055,Zoologist Have Kobenhavn (Copenhagen Zoo),Monitoring the effectiveness of translocation as management and conservation tool for Asian elephants in Peninsular Malaysia,"$44,606.00","$87,760.00",ASE-0525,Malaysia,"This project will review translocation programs in peninsular Malaysia since 1974 and analyze spatial and temporal trends in human-elephant conflict, elephant distribution, and population size.  The grantee will deploy GPS-satellite transmitters on translocated and non-translocated elephants to compare post-release ranging behavior of translocated elephants with that of elephants that remain in Taman Negara National Park, and use study results to develop and disseminate management recommendations regarding translocations.",,"4.71528, 102.469406"
small_green,Asian Elephant,96200-1-G056,Zoological Society of London,"Strengthening protection of elephants in Protected Areas around Srisawat Corridor, West Thailand, by establishing smart patrol systems using MIST","$65,543.00","$411,037.00",ASE-0530,Thailand,The project will improve the capacity of protected area personnel through training and helping them implement a Smart Patrol System.,,"14.623414, 99.29718"
small_green,Asian Elephant,96200-1-G057,Frankfurt Zoological Society,"Towards a peaceful coexistence between men and elephants in Bukit Tigapuluh, Indonesia (Phase II)","$29,920.00","$42,120.00",ASE-0534,Indonesia,This project will promote a conflict hotline and provide continuously updated information to law enforcement for investigation of illegal activities.  The results will help law enforcement personnel to investigate human-elephant conflict incidents and refine site-specific mitigation and management strategies and plans.,,"-1.089107, 102.312927"
small_green,Asian Elephant,96200-1-G058,Veterinary Society for Sumatran Wildlife Conservation,Providing field veterinary expertise and services for Sumatran elephant and other endangered Sumatran wildlife conservation programs and activities,"$54,500.00","$51,047.00",ASE-0535,Indonesia,"This grant will support veterinary care to injured and sick elephants, help with wild elephant rescue and translocation efforts, and assist with elephant capture and collaring efforts.  The grantee will conduct field necropsies and assist with diagnoses, providing data for legal procedures, and helping to build local and international veterinary capacity.",,"3.584943, 98.675671"
small_green,Asian Elephant,96200-1-G059,Veterinary Society for Sumatran Wildlife Conservation,Community-based protection of Sumatran elephant populations and habitat in northern Sumatra through Conservation Response Units,"$50,160.00","$114,920.00",ASE-0545,Indonesia,"The project will continue to maintain and use captive elephants and to train personnel in Conservation Response Units to carry out elephant-back patrols.  The Units will monitor wildlife and illegal activities, respond to human-elephant conflict and assess approaches to mitigate the conflict in different sites.",,"3.880088, 97.701416"
small_green,Asian Elephant,96200-1-G206,Wildlife Conservation Society,"Elephant protection, distribution monitoring, and education campaigns in the Western Forest Complex, Thailand","$64,162.00","$69,859.00",ASE-0554,Thailand,This project will complete the occupancy work in lower WEFCOM started in 2010 and initiate nature education campaigns with the elephant as a flagship species in 6 key schools and communities.  The grantee will conduct follow-up monitoring with 8 patrol teams in Thung Yai West Wildlife Sanctuary and train 25-30 students on elephant and wildlife occupancy and population monitoring techniques.,,"15.683718, 99.134979"
small_green,Asian Elephant,96200-1-G207,International Rhino Foundation,"Protection of threatened megavertebrates in Bukit Barisan Selatan National Park, Sumatra, Indonesia by anti-poaching units","$100,000.00","$386,512.00",ASE-0516,Indonesia,"This grant will continue operations support for the seven Bukit Barisan Selatan National Park Rhino Protection Units through 2012 in Sumatra, Indonesia. These Units are highly trained anti-poaching teams that intensively patrol key areas within the national park.  They take appropriate action against attempts to shoot or poison elephants, remove traps, apprehend or identify to the local authorities all suspected poachers so they can be prosecuted, and monitor populations of elephants, rhinos, tapirs and other threatened species.",,"-5.497223, 104.414063"
small_green,Asian Elephant,96200-1-G208,Wildlife Conservation Society,"Elephant conservation and capacity-building in Seima Protection Forest, Cambodia: Year 5","$55,152.00","$54,130.00",ASE-0517,Cambodia,"This project will increase the levels of law enforcement in those areas that have previously been identified as elephant ‘hot spots’, ensuring protection in focal areas.  The project will also improve capacity of national staff  in the use of Management Information Systems (MIST).",,"12.358485, 107.009583"
small_green,Asian Elephant,96200-1-G210,"Foundation for Ecological Research, Advocacy and Learning","Functional connectivity for large mammals in the southern Western Ghats, India: linking movement and distribution","$49,809.00","$55,766.00",ASE-0522,India,"This project will identify small-scale movement corridors via camera trapping.  The grantee will quantify the permeability of different land use types and their seasonal dynamics to rank potential corridors for elephant movement, identify bottlenecks, develop a model that predicts conflict 'hot spots' under different scenarios of corridor restoration.  The project will eventually restore degraded corridors without further exacerbating conflict with people.",,"9.000232, 77.152863"
small_green,Asian Elephant,96200-1-G211,Zoo Outreach Organization,"Human Elephant Coexistence HECx: Educator training workshops in Tamil Nadu, India","$84,660.00","$16,050.00",ASE-0527,India,"This project plans to bring about attitudinal and behavioral changes in people living in or near elephant habitat to avoid confrontation and conflict and to promote peaceful coexistence between humans and elephants.  The grantee will utilize continuously improving new educational tools to train about 120 key educators, managers, volunteers, community heads, and others to use these tools to reach various audiences.",,"11.491445, 76.73399"
small_green,Asian Elephant,96200-1-G212,Elephant Forest and Environment Conservation Trust,Demographic influences of social organization in elephants and devising strategies for alternative human livelihoods,"$49,883.00","$88,995.00",ASE-0529,Sri Lanka,"This grantee will conduct vehicle-based photographic identification surveys of elephants and behavioral research, including surveys of households outside the National Park to obtain socioeconomic and livelihood information, within the Uda Walawe National Park.  The project will provide necessary data to the Department of Wildlife Conservation, Sri Lanka, to protect the park and sanctuaries and conduct education and sustainable livelihood programs.",,"6.475125, 80.876522"
small_green,Asian Elephant,96200-1-G214,Fauna and Flora International,Developing a conservation strategy and action plan for the Asian elephant in Cambodia,"$53,975.00","$103,681.00",ASE-0541,Cambodia,This grant will support a national workshop to formulate and produce the Cambodian Elephant Strategy & Action Plan for the conservation of the Asian elephant in Cambodia.  The grantee will also complete a Human-Elephant Conflict Substation in the Cardamom Mountains.,This project proposes to formulate a National Elephant Action Plan for Cambodia. The coordinates provided is the location of the highest density of confirmed elephant records and largest conservation target area in Cambodia.,"11.463276, 103.408203"
small_green,Asian Elephant,96200-1-G217,"Community Conservation, Inc.",Formalizing Manas Biosphere community forest protection forces and expanding the large mammal corridor,"$49,500.00","$114,500.00",ASE-0548,India,"This grant will support 100 men from five groups to continue to put pressure on illegal logging and illegal hunting.  The project will strengthen protection around Manas Biosphere Reserve, enhance community co-management, and help strengthen the Assam Forest Department.",,"26.747927, 91.016083"
small_green,Asian Elephant,96200-1-G218,Frankfurt Zoological Society,Saving the elephants of Bukit Tigapuluh (Sumatra) with GPS and GIS,"$49,852.00","$28,500.00",ASE-0550,Indonesia,"This grantee will collar and track elephants with GPS collars, to collect information on home range size and habitat usage, and to generate data related to elephant hot spots and active routes.  This project will provide information that will help save elephant habitat in the region and explore the use of GPS/GIS elephant monitoring system as an early-warning system to mitigate human-elephant conflict.",,"-1.089107, 102.312927"
small_green,Asian Elephant,96200-1-G219,Wildlife Areas Development and Welfare Trust,"Strengthen the protection measures by involving fringe villagers in Manas National Park for the conservation of Asian elephants, Phase - V","$46,860.00","$47,200.00",ASE-0553,India,"This grant will support 40 volunteers for 12 months in Manas National Park, Assam, who support the Forest Department staff in their daily law enforcement activities, and assist adjoining villages with human-elephant conflict incidents.",,"26.745474, 91.017609"
small_green,Asian Elephant,96200-1-G220,Smithsonian Institution,The role of fire in maintaining critical Asian elephant habitat in Sri Lanka,"$25,148.00","$13,730.00",ASE-0563,Sri Lanka,This project will determine whether fires can be used to reduce Lantana camara and other shrub invasions into grasslands.  It will also determine whether elephants prefer these areas as habitat at Udawalawe National Park and Hurulu Reserve.,,"6.47323, 80.87719"
small_green,Asian Elephant,96200-1-G221,Wildlife Conservation Society,"WCS/Go Peninsular Malaysia Elephant Project: Year 6, assessment and reduction of human–elephant conflict and capacity building in Endau-Romping","$54,452.00","$54,854.00",ASE-0564,Malaysia,"This project will continue human-elephant conflict monitoring around Endau Rompin (Johor) National Park.  The grantee will analyze the geographical distribution of elephants with respect to forest areas, plantations, and human-elephant conflict incidence in Johor and southern Pahang Provinces.  The project will also test electric fences as a human-elephant conflict mitigation method for use in villages and will continue to support community-based mitigation schemes established in four Orang Asli villages.",,"2.432588, 103.312531"
small_green,Asian Elephant,96200-1-G222,Wildlife Conservation Society,"Protecting Sumatran elephant populations and resolving human-elephant conflict in Padang Surinam, South Sumatra","$49,899.00","$54,403.00",ASE-0566,Indonesia,"This project will address two main barriers to effective and sustainable human-elephant conflict mitigation: (1) inadequate support from and coordination among communities, park management, and local government, and (2) insufficient current mitigation efforts, limited to only a few of the many conflict areas in Sumatra. This project will also establish village committees and support systems and set up Active Guarding Units to organize and motivate village protections.",,"-3.612411, 105.298157"
small_green,Asian Elephant,96200-1-G223,Wildlife Conservation Society,"Law enforcement, law enforcement monitoring, and human-elephant conflict mitigation in Kiang Krishna National Park, Thailand, Year 7","$63,432.00","$64,694.00",ASE-0569,Thailand,"This grant will support law enforcement and monitoring of the effectiveness of the patrolling systems using Management Information System (MIST).  The project will increase the capacity of park staff, promote human-elephant conflict mitigation, educate local communities about elephants and conservation, and build a new Elephant Conservation Center.",,"12.750493, 99.599266"
small_green,Asian Elephant,96200-1-G224,Fauna and Flora International,Strengthening government capacity on elephant monitoring and management,"$48,106.00","$102,060.00",ASE-0570,Cambodia,"This grantee will collect important data on Asian elephant population in the northern half of the Phnom Samkos Wildlife Sanctuary using camera traps.  The project will train rangers in camera trap deployment and maintenance, and support government-led human-elephant conflict response teams to educate and train local people on conflict mitigation.",,"12.485484, 103.007774"
small_green,Asian Elephant,96200-1-G225,FREELAND Foundation,Sustaining wildlife guardians in Thailand’s forgotten park,"$49,988.00","$35,751.00",ASE-0573,Thailand,"This project will provide sustainable professional skills development for rangers to safely carry out their jobs in Thap Lan and Pang Sida National Parks.  The grantee will study elephant (and other wildlife) population abundance and distribution in Thap Lan and Pang Sida National Parks, and reduce human-elephant conflict around Thap Lan National Park.",,"14.288247, 102.523556"
small_blue,Rhino Tiger,96200-1-G024,Save the Rhino International,"Improving law enforcement and security for black rhinos and white rhinos in Hluhluwe-iMfolozi Park, South Africa","$28,445.00","$309,422.00",RT-1088,South Africa,"This grant will support the operating costs of an aircraft to provide security surveillance and rapid response capabilities in Hluhluwe-iMfolozi Park, which has more than 2,000 white rhinos and 200 southern black rhinos.",,"-28.220046, 31.947212"
small_blue,Rhino Tiger,96200-1-G025,Save the Rhino International,"Enhancing rhino security and monitoring capabilities in the Kunene region of Namibia, via a co-operative approach between Save the Rhino Trust and the Ministry of Environment and Tourism","$91,014.00","$65,153.00",RT-1089,Namibia,"This project will assess the abilities and needs of government field staff and community scouts working together, addressing deficiencies in capabilities through targeted training.  The project will improve data collection, analysis and feedback between the government and community rhino custodians to enhance security for desert black rhinos in Namibia.",,"-19.66874, 13.095703"
small_blue,Rhino Tiger,96200-1-G026,Save the Rhino International,Implementing a strategic planning process for rhino conservation in Zimbabwe,"$20,460.00","$12,840.00",RT-1090,Zimbabwe,"This grant will support the development of a new national rhino conservation strategy for Zimbabwe to replace the outdated plan that is currently in effect.  Through facilitated meetings between government, rhino experts, and local stakeholders, a new national plan will be written to address emerging issues like community custodianship, active meta-population management, and combating the escalated poaching threat.",This project spans across all areas containing black and white rhinos in Zimbabwe. The coordinates provided is the central location of Zimbawe.,"-18.990569, 29.903564"
small_blue,Rhino Tiger,96200-1-G027,Save the Rhino International,"Providing a new lease on life for the Laikipia Wildlife Forum’s Environmental Education and Literacy Program, in one of the prime black rhino areas of Kenya","$34,660.00","$28,140.00",RT-1091,Kenya,"This grant will support the purchase of a new bus to be used for environmental education throughout Laikipia District, one of Kenya's most important rhino and elephant areas.  The bus will be staffed full-time by an education team and equipped with mobile education materials.  It will be deployed to reach 80 school groups and 15 community groups per year.",,"0.381467, 36.779175"
small_blue,Rhino Tiger,96200-1-G028,North Luangwa Conservation Programme,Support for black rhino conservation through law enforcement training in North Luangwa National Park,"$88,650.00","$53,838.00",RT-1096,Zambia,"Support for this ongoing program will provide training and equipment to 180 Zambia Wildlife Authority (ZAWA) wildlife police officers, and advanced training for 30 specialized rhino protection rangers working in and around the black rhino protection zone in eastern Zambia.",,"-11.91334, 32.269287"
small_blue,Rhino Tiger,96200-1-G029,International Rhino Foundation,"Continued support for rhinoceros management operations, Zimbabwe","$50,000.00","$93,275.00",RT-1109,Zimbabwe,"This grantee will continue to work with an experienced team to locate and tranquilize black rhinos in the southeastern Lowveld of Zimbabwe in order to: a) treat the animals for snare injuries and other injuries, b) conduct ear-notching for monitoring, c) fit transmitters for monitoring, and/or d) translocate rhinos in vulnerable areas to places of greater safety.",This project spans across all areas containing black and white rhinos in Zimbabwe. The coordinates provided is the central location of Zimbawe.,"-18.990569, 29.903564"
small_blue,Rhino Tiger,96200-1-G030,Wildlife Conservation Society,MIST implementation and Amur tiger monitoring in China,"$78,238.00","$71,308.00",RT-1070,China,This project will continue the implementation of MIST in Hunchun Nature Reserve and surrounding areas.  It will strengthen tiger monitoring by improving protocols and practices and increasing the number of monitoring stations in Jilin and Heilongjiang Provinces.  These actions are key to enhancing local capacity for tiger conservation and eliminating direct threats to tigers in northeast China.,,"42.937211, 130.995483"
small_blue,Rhino Tiger,96200-1-G031,Wildlife Conservation Society,Meta-population dynamics of tiger populations in the Malenad-Mysore Landscape of Karnataka - Brahmagiri-Pushpagiri-Talakaveri and BRT-Cauvery Protected Area Complexes,"$66,377.00","$66,026.00",RT-1061,India,"This project will initiate rigorous monitoring of tigers through camera trap and genetic capture-recapture sampling.  Information will be developed on the presence or absence of tigers and prey over a wide region.  The results will be used to identify additional core areas for future targeted conservation, identify tiger population sources and sinks, and detect emerging threats to habitat connectivity.",,"12.75213, 75.644302"
small_blue,Rhino Tiger,96200-1-G032,AARANYAK,"Noninvasive genetics identity based monitoring of tiger (Panthera tigris tigris) populations in the Protected Areas of Assam, Phase I","$48,600.00","$10,200.00",RT-1044,India,"This project will initiate application of noninvasive, cost effective, genetic techniques in the monitoring of the tiger population of northeast India.  The grantee will collect and analyze tiger scats from Manas Tiger Reserve, and develop a strategy for the long term genetic population monitoring of the tigers of the Reserve.",,"26.742476, 91.018295"
